2. РОДИВШИЕСЯ, УМЕРШИЕ И ЕСТЕСТВЕННЫЙ ПРИРОСТ НАСЕЛЕНИЯ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
								
	  Число родившихся		Прирост, снижение           /-/	  Число  умерших		Прирост, снижение           /-/	Естественный прирост, убыль (-)	
								
	2010г.	2009г.		2010г.	2009г.		2010г.	2009г.
								
Республика Северная Осетия-Алания	10303	10017	286	7748	7987	-239	2555	2030
Чеченская Республика	37753	36523	1230	7042	6620	422	30711	29903
Ставропольский край	33014	32702	312	34512	35631	-1119	-1498	-2929
Приволжский федеральный округ	370893	364290	6603	449819	440281	9538	-78926	-75991
Республика Башкортостан	57093	55587	1506	54457	53227	1230	2636	2360
Республика Марий Эл	8857	8896	-39	10572	10435	137	-1715	-1539
Республика Мордовия	7974	8103	-129	13106	13027	79	-5132	-4924
Республика Татарстан	48791	46605	2186	49713	47892	1821	-922	-1287
Удмуртская Республика	21684	21109	575	21100	20227	873	584	882
Чувашская Республика	16174	16103	71	18186	17492	694	-2012	-1389
Пермский край	37304	36043	1261	40371	40609	-238	-3067	-4566
Кировская область	15803	15897	-94	22514	23176	-662	-6711	-7279
Нижегородская область	36281	36224	57	59241	58197	1044	-22960	-21973
Оренбургская область	28601	28144	457	29572	29215	357	-971	-1071
Пензенская область	14115	14212	-97	22064	21785	279	-7949	-7573
Самарская область	37231	36309	922	48910	47044	1866	-11679	-10735
Саратовская область	27269	27444	-175	39610	38532	1078	-12341	-11088
Ульяновская область	13716	13614	102	20403	19423	980	-6687	-5809
Уральский федеральный округ	170489	166808	3681	156698	158107	-1409	13791	8701
Курганская область	11816	11943	-127	14626	14889	-263	-2810	-2946
Свердловская область	57540	56323	1217	61486	63045	-1559	-3946	-6722
Тюменская область	54521	52992	1529	30502	30139	363	24019	22853
  Ханты-Мансийский автономный округ - Югра	25089	23840	1249	10447	10107	340	14642	13733
  Ямало-Ненецкий автономный округ	8263	8216	47	2873	2924	-51	5390	5292
Челябинская область	46612	45550	1062	50084	50034	50	-3472	-4484
Сибирский федеральный округ	272171	273469	-1298	273022	272248	774	-851	1221
Республика Алтай	4224	4266	-42	2508	2492	16	1716	1774
Республика Бурятия	16506	16729	-223	12361	12466	-105	4145	4263
Республика Тыва	8262	8242	20	3566	3666	-100	4696	4576
Республика Хакасия	8014	8062	-48	7373	7255	118	641	807
Алтайский край	30853	30906	-53	36369	35774	595	-5516	-4868
Забайкальский край	17577	17816	-239	15331	15255	76	2246	2561
Красноярский край	38527	38150	377	38131	37635	496	396	515
Иркутская область	36935	38073	-1138	35105	34898	207	1830	3175
Кемеровская область	36370	37599	-1229	44522	44856	-334	-8152	-7257
Новосибирская область	35073	34249	824	37055	37203	-148	-1982	-2954
Oмская область	26203	25639	564	27504	27342	162	-1301	-1703
Томская область	13627	13738	-111	13197	13406	-209	430	332
Дальневосточный федеральный округ	83016	83772	-756	86702	85562	1140	-3686	-1790
Республика Саха (Якутия)	16109	15970	139	9402	9353	49	6707	6617
Камчатский край	3880	4074	-194	4067	4045	22	-187	29
Приморский край	23164	23469	-305	27974	27458	516	-4810	-3989
Хабаровский край	17407	17573	-166	19611	19115	496	-2204	-1542
Амурская область	11479	11397	82	12740	12629	111	-1261	-1232
Магаданская область	1807	1960	-153	2052	2164	-112	-245	-204
Сахалинская область	6016	6196	-180	7422	7419	3	-1406	-1223
Еврейская автономная область	2408	2438	-30	2736	2739	-3	-328	-301
Чукотский автономный округ	746	695	51	698	640	58	48	55
